PMU_SegArb_ExampleB,VMeasCh1,IMeasCh1,VMeasCh2,IMeasCh2,TimeOutput,StatusCh1,StatusCh2,G,R,R_AV
,2.0020E+0,1.3062E-6,104.6400E-3,4.5346E-6,104.1600E-6,,,43.3353E-6,23.0759E+3,
,2.0020E+0,1.4435E-6,94.4143E-3,4.5363E-6,104.1650E-6,,,48.0467E-6,20.8131E+3,
,2.0020E+0,894.5588E-9,103.1792E-3,4.9462E-6,104.1700E-6,,,47.9384E-6,20.8601E+3,
,2.0006E+0,1.0312E-6,107.5616E-3,5.0826E-6,104.1750E-6,,,47.2534E-6,21.1625E+3,
,2.0020E+0,345.6383E-9,104.6400E-3,4.9460E-6,104.1800E-6,,,47.2668E-6,21.1565E+3,
,2.0020E+0,1.0318E-6,97.3359E-3,3.7130E-6,104.1850E-6,,,38.1465E-6,26.2147E+3,
,2.0006E+0,1.4429E-6,106.1008E-3,3.8487E-6,104.1900E-6,,,36.2740E-6,27.5679E+3,
,1.9992E+0,1.3051E-6,103.1792E-3,4.6720E-6,104.1950E-6,,,45.2802E-6,22.0847E+3,
,1.9963E+0,754.9405E-9,104.6400E-3,5.4945E-6,104.2000E-6,,,52.5089E-6,19.0444E+3,
,2.0020E+0,894.5588E-9,98.7968E-3,6.4554E-6,104.2050E-6,,,65.3404E-6,15.3045E+3,
,2.0121E+0,898.7378E-9,104.6400E-3,5.7688E-6,104.2100E-6,,,55.1299E-6,18.1390E+3,
,1.9877E+0,476.8985E-9,104.6400E-3,5.3574E-6,104.2150E-6,,,51.1984E-6,19.5319E+3,
,1.9949E+0,342.6534E-9,95.8752E-3,5.0846E-6,104.2200E-6,,,53.0334E-6,18.8560E+3,
,1.9949E+0,-69.0370E-9,101.7184E-3,4.9465E-6,104.2250E-6,,,48.6292E-6,20.5638E+3,
,2.0121E+0,-473.5634E-9,103.1792E-3,5.2205E-6,104.2300E-6,,,50.5965E-6,19.7642E+3,
,2.0006E+0,-615.5695E-9,103.1792E-3,5.3576E-6,104.2350E-6,,,51.9256E-6,19.2583E+3,
,2.0020E+0,-614.9725E-9,100.2576E-3,5.0839E-6,104.2400E-6,,,50.7080E-6,19.7208E+3,
,2.0078E+0,-1.4360E-6,97.3359E-3,4.6729E-6,104.2450E-6,,,48.0085E-6,20.8297E+3,
,1.9963E+0,-1.5780E-6,101.7184E-3,3.9866E-6,104.2500E-6,,,39.1921E-6,25.5153E+3,
,1.9992E+0,-1.1651E-6,98.7968E-3,4.2613E-6,104.2550E-6,,,43.1321E-6,23.1846E+3,
,1.9992E+0,-890.6268E-9,103.1792E-3,4.8091E-6,104.2600E-6,,,46.6093E-6,21.4549E+3,
,1.9934E+0,-618.5545E-9,107.5616E-3,6.3168E-6,104.2650E-6,,,58.7276E-6,17.0278E+3,
